State Name,Constitution Assembly,Candidate Name,Party Name,Status,Obtained Votes,Difference Votes,Img urls,Party Short Names,party_color
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,BISHNU PADA RAY,Bharatiya Janata Party,won,102436 ,(+ 24396),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/BISHN-2024-169.jpg,BJP,#FF944D
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,KULDEEP RAI SHARMA,Indian National Congress,lost,78040 ,( -24396),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KULDE-2024-2038.jpg,INC,#19AAED
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,MANOJ PAUL,Andaman Nicobar Democratic Congress,lost,8254 ,( -94182),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/MANOJ-2024-970.jpg,ANDC,#3357FF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,D AYYAPPAN,Communist Party of India  (Marxist),lost,6017 ,( -96419),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DAYYA-2024-944.jpg,CPOI,#FF33A6
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,V.K. ABDUL AZIZ,Independent,lost,2203 ,( -100233),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/VKA-2024-2102.jpg,IND,#AEBEDF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,lost,914 ,( -101522),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KJBSE-2024-986.jpg,AIADMK,#9633FF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,lost,719 ,( -101717),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DRARU-2024-938.jpg,BSP,#33FFF5
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,RINKU MALA MONDAL,Independent,lost,542 ,( -101894),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/RINKU-2024-2056.jpg,IND,#AEBEDF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,K VENKAT RAM BABU,Independent,lost,507 ,( -101929),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KVENK-2024-1997.jpg,IND,#AEBEDF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,USHA KUMARI,Independent,lost,380 ,( -102056),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/USHAK-2024-2088.jpg,IND,#AEBEDF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),lost,351 ,( -102085),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/SALAM-2024-1955.jpg,SUCOI,#F533FF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,ANAND RAMNATH ARLEKAR,Independent,lost,342 ,( -102094),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/ANAND-2024-2008.jpg,IND,#AEBEDF
Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,NOTA,None of the Above,,1809 ,( -100627),	https://results.eci.gov.in/PcResultGenJune2024/img/nota.jpg,NOTA,#FF3333
Andhra Pradesh,Amalapuram (SC) - 7,G M HARISH (BALAYOGI),Telugu Desam,won,796981 ,(+ 342196),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GMHAR-2024-20240502111113.jpg,TD,#33FF96
Andhra Pradesh,Amalapuram (SC) - 7,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,lost,454785 ,( -342196),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/RAPAK-2024-7517.jpg,YSRCP,#96FF33
Andhra Pradesh,Amalapuram (SC) - 7,GOUTHAM JANGA,Indian National Congress,lost,15082 ,( -781899),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GOUTH-2024-20240502110423.jpg,INC,#19AAED
Andhra Pradesh,Amalapuram (SC) - 7,DORABABU YALLA,Bahujan Samaj Party,lost,5388 ,( -791593),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DORAB-2024-20240502105644.jpg,BSP,#33FFF5
Andhra Pradesh,Amalapuram (SC) - 7,KATRU NAGA BABU,Telugu Nava Garjana Party,lost,3741 ,( -793240),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KATRU-2024-20240502104755.jpg,TNGP,#F5FF33
Andhra Pradesh,Amalapuram (SC) - 7,VADDI LALITH KUMAR,Independent,lost,2977 ,( -794004),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VADDI-2024-20240502112549.jpg,IND,#AEBEDF
